Client,i,Factorial
127.0.0.1:42185,7,5040
127.0.0.1:50889,6,720
127.0.0.1:51401,5,120
127.0.0.1:29385,4,24
127.0.0.1:37064,3,6
127.0.0.1:30409,2,2
127.0.0.1:29897,1,1
127.0.0.1:46281,19,121645100408832000
127.0.0.1:46793,17,355687428096000
127.0.0.1:15561,16,20922789888000
127.0.0.1:35529,15,1307674368000
127.0.0.1:45769,14,87178291200
127.0.0.1:43209,13,6227020800
127.0.0.1:19145,13,6227020800
127.0.0.1:47305,12,479001600
127.0.0.1:6858,11,39916800
127.0.0.1:28873,10,3628800
127.0.0.1:36552,10,3628800
127.0.0.1:15049,10,3628800
127.0.0.1:37576,10,3628800
127.0.0.1:41673,9,362880
127.0.0.1:42697,9,362880
127.0.0.1:47817,9,362880
127.0.0.1:42185,8,40320
127.0.0.1:50889,7,5040
127.0.0.1:51401,6,720
127.0.0.1:29385,5,120
127.0.0.1:37064,4,24
127.0.0.1:30409,3,6
127.0.0.1:29897,2,2
127.0.0.1:9418,1,1
127.0.0.1:46281,20,2432902008176640000
127.0.0.1:46793,18,6402373705728000
127.0.0.1:15561,17,355687428096000
127.0.0.1:35529,16,20922789888000
127.0.0.1:45769,15,1307674368000
127.0.0.1:43209,14,87178291200
127.0.0.1:19145,14,87178291200
127.0.0.1:47305,13,6227020800
127.0.0.1:6858,12,479001600
127.0.0.1:28873,11,39916800
127.0.0.1:36552,11,39916800
127.0.0.1:15049,11,39916800
127.0.0.1:37576,11,39916800
127.0.0.1:41673,10,3628800
127.0.0.1:42697,10,3628800
127.0.0.1:47817,10,3628800
127.0.0.1:42185,9,362880
127.0.0.1:50889,8,40320
127.0.0.1:51401,7,5040
127.0.0.1:29385,6,720
127.0.0.1:37064,5,120
127.0.0.1:30409,4,24
127.0.0.1:29897,3,6
127.0.0.1:9418,2,2
127.0.0.1:46315,1,1
127.0.0.1:46793,19,121645100408832000
127.0.0.1:15561,18,6402373705728000
127.0.0.1:35529,17,355687428096000
127.0.0.1:45769,16,20922789888000
127.0.0.1:43209,15,1307674368000
127.0.0.1:19145,15,1307674368000
127.0.0.1:47305,14,87178291200
127.0.0.1:6858,13,6227020800
127.0.0.1:28873,12,479001600
127.0.0.1:36552,12,479001600
127.0.0.1:15049,12,479001600
127.0.0.1:37576,12,479001600
127.0.0.1:41673,11,39916800
127.0.0.1:42697,11,39916800
127.0.0.1:47817,11,39916800
127.0.0.1:42185,10,3628800
127.0.0.1:50889,9,362880
127.0.0.1:51401,8,40320
127.0.0.1:29385,7,5040
127.0.0.1:37064,6,720
127.0.0.1:30409,5,120
127.0.0.1:29897,4,24
127.0.0.1:9418,3,6
127.0.0.1:46315,2,2
127.0.0.1:13514,1,1
127.0.0.1:46793,20,2432902008176640000
127.0.0.1:15561,19,121645100408832000
127.0.0.1:35529,18,6402373705728000
127.0.0.1:45769,17,355687428096000
127.0.0.1:43209,16,20922789888000
127.0.0.1:19145,16,20922789888000
127.0.0.1:47305,15,1307674368000
127.0.0.1:6858,14,87178291200
127.0.0.1:28873,13,6227020800
127.0.0.1:36552,13,6227020800
127.0.0.1:15049,13,6227020800
127.0.0.1:37576,13,6227020800
127.0.0.1:41673,12,479001600
127.0.0.1:42697,12,479001600
127.0.0.1:47817,12,479001600
127.0.0.1:42185,11,39916800
127.0.0.1:50889,10,3628800
127.0.0.1:51401,9,362880
127.0.0.1:29385,8,40320
127.0.0.1:37064,7,5040
127.0.0.1:30409,6,720
127.0.0.1:29897,5,120
127.0.0.1:9418,4,24
127.0.0.1:46315,3,6
