Client,i,Factorial
127.0.0.1:60106,6,720
127.0.0.1:8395,5,120
127.0.0.1:3787,4,24
127.0.0.1:13519,3,6
127.0.0.1:9931,2,2
127.0.0.1:62158,1,1
127.0.0.1:35530,20,2432902008176640000
127.0.0.1:34506,19,121645100408832000
127.0.0.1:26826,18,6402373705728000
127.0.0.1:41674,17,355687428096000
127.0.0.1:41162,16,20922789888000
127.0.0.1:45770,15,1307674368000
127.0.0.1:51402,14,87178291200
127.0.0.1:42186,13,6227020800
127.0.0.1:42219,12,479001600
127.0.0.1:56522,11,39916800
127.0.0.1:57034,10,3628800
127.0.0.1:57546,9,362880
127.0.0.1:58058,8,40320
127.0.0.1:60106,7,5040
127.0.0.1:8395,6,720
127.0.0.1:3787,5,120
127.0.0.1:13519,4,24
127.0.0.1:9931,3,6
127.0.0.1:62158,2,2
127.0.0.1:14539,1,1
127.0.0.1:34506,20,2432902008176640000
127.0.0.1:26826,19,121645100408832000
127.0.0.1:41674,18,6402373705728000
127.0.0.1:41162,17,355687428096000
127.0.0.1:45770,16,20922789888000
127.0.0.1:51402,15,1307674368000
127.0.0.1:42186,14,87178291200
127.0.0.1:42219,13,6227020800
127.0.0.1:56522,12,479001600
127.0.0.1:57034,11,39916800
127.0.0.1:57546,10,3628800
127.0.0.1:58058,9,362880
127.0.0.1:60106,8,40320
127.0.0.1:8395,7,5040
127.0.0.1:3787,6,720
127.0.0.1:13519,5,120
127.0.0.1:9931,4,24
127.0.0.1:62158,3,6
127.0.0.1:14539,2,2
127.0.0.1:14027,1,1
127.0.0.1:26826,20,2432902008176640000
127.0.0.1:41674,19,121645100408832000
127.0.0.1:41162,18,6402373705728000
127.0.0.1:45770,17,355687428096000
127.0.0.1:51402,16,20922789888000
127.0.0.1:42186,15,1307674368000
127.0.0.1:42219,14,87178291200
127.0.0.1:56522,13,6227020800
127.0.0.1:57034,12,479001600
127.0.0.1:57546,11,39916800
127.0.0.1:58058,10,3628800
127.0.0.1:60106,9,362880
127.0.0.1:8395,8,40320
127.0.0.1:3787,7,5040
127.0.0.1:13519,6,720
127.0.0.1:9931,5,120
127.0.0.1:62158,4,24
127.0.0.1:14539,3,6
127.0.0.1:14027,2,2
127.0.0.1:13515,1,1
127.0.0.1:41674,20,2432902008176640000
127.0.0.1:41162,19,121645100408832000
127.0.0.1:45770,18,6402373705728000
127.0.0.1:51402,17,355687428096000
127.0.0.1:42186,16,20922789888000
127.0.0.1:42219,15,1307674368000
127.0.0.1:56522,14,87178291200
127.0.0.1:57034,13,6227020800
127.0.0.1:57546,12,479001600
127.0.0.1:58058,11,39916800
127.0.0.1:60106,10,3628800
127.0.0.1:8395,9,362880
127.0.0.1:3787,8,40320
127.0.0.1:13519,7,5040
127.0.0.1:9931,6,720
127.0.0.1:62158,5,120
127.0.0.1:14539,4,24
127.0.0.1:14027,3,6
127.0.0.1:13515,2,2
127.0.0.1:16587,1,1
127.0.0.1:41162,20,2432902008176640000
127.0.0.1:45770,19,121645100408832000
127.0.0.1:51402,18,6402373705728000
127.0.0.1:42186,17,355687428096000
127.0.0.1:42219,16,20922789888000
127.0.0.1:56522,15,1307674368000
127.0.0.1:57034,14,87178291200
127.0.0.1:57546,13,6227020800
127.0.0.1:58058,12,479001600
127.0.0.1:60106,11,39916800
127.0.0.1:8395,10,3628800
127.0.0.1:3787,9,362880
127.0.0.1:13519,8,40320
127.0.0.1:9931,7,5040
127.0.0.1:62158,6,720
127.0.0.1:14539,5,120
127.0.0.1:14027,4,24
127.0.0.1:13515,3,6
127.0.0.1:16587,2,2
127.0.0.1:62670,1,1
127.0.0.1:45770,20,2432902008176640000
127.0.0.1:51402,19,121645100408832000
127.0.0.1:42186,18,6402373705728000
127.0.0.1:42219,17,355687428096000
127.0.0.1:56522,16,20922789888000
127.0.0.1:57034,15,1307674368000
127.0.0.1:57546,14,87178291200
127.0.0.1:58058,13,6227020800
127.0.0.1:60106,12,479001600
127.0.0.1:8395,11,39916800
127.0.0.1:3787,10,3628800
127.0.0.1:13519,9,362880
127.0.0.1:9931,8,40320
127.0.0.1:62158,7,5040
127.0.0.1:14539,6,720
127.0.0.1:14027,5,120
127.0.0.1:13515,4,24
127.0.0.1:16587,3,6
127.0.0.1:62670,2,2
127.0.0.1:23755,1,1
127.0.0.1:51402,20,2432902008176640000
127.0.0.1:42186,19,121645100408832000
127.0.0.1:42219,18,6402373705728000
127.0.0.1:56522,17,355687428096000
127.0.0.1:57034,16,20922789888000
127.0.0.1:57546,15,1307674368000
127.0.0.1:58058,14,87178291200
127.0.0.1:60106,13,6227020800
127.0.0.1:8395,12,479001600
127.0.0.1:3787,11,39916800
127.0.0.1:13519,10,3628800
127.0.0.1:9931,9,362880
127.0.0.1:62158,8,40320
127.0.0.1:14539,7,5040
127.0.0.1:14027,6,720
127.0.0.1:13515,5,120
127.0.0.1:16587,4,24
127.0.0.1:62670,3,6
127.0.0.1:23755,2,2
127.0.0.1:36555,1,1
127.0.0.1:42186,20,2432902008176640000
127.0.0.1:42219,19,121645100408832000
127.0.0.1:56522,18,6402373705728000
127.0.0.1:57034,17,355687428096000
127.0.0.1:57546,16,20922789888000
127.0.0.1:58058,15,1307674368000
127.0.0.1:60106,14,87178291200
127.0.0.1:8395,13,6227020800
127.0.0.1:3787,12,479001600
127.0.0.1:13519,11,39916800
127.0.0.1:9931,10,3628800
127.0.0.1:62158,9,362880
127.0.0.1:14539,8,40320
127.0.0.1:14027,7,5040
127.0.0.1:13515,6,720
127.0.0.1:16587,5,120
127.0.0.1:62670,4,24
127.0.0.1:23755,3,6
127.0.0.1:36555,2,2
127.0.0.1:23243,1,1
127.0.0.1:42219,20,2432902008176640000
127.0.0.1:56522,19,121645100408832000
127.0.0.1:57034,18,6402373705728000
127.0.0.1:57546,17,355687428096000
127.0.0.1:58058,16,20922789888000
127.0.0.1:60106,15,1307674368000
127.0.0.1:8395,14,87178291200
127.0.0.1:3787,13,6227020800
127.0.0.1:13519,12,479001600
127.0.0.1:9931,11,39916800
127.0.0.1:62158,10,3628800
127.0.0.1:14539,9,362880
127.0.0.1:14027,8,40320
127.0.0.1:13515,7,5040
127.0.0.1:16587,6,720
127.0.0.1:62670,5,120
127.0.0.1:23755,4,24
127.0.0.1:36555,3,6
127.0.0.1:23243,2,2
127.0.0.1:32459,1,1
127.0.0.1:56522,20,2432902008176640000
127.0.0.1:57034,19,121645100408832000
127.0.0.1:57546,18,6402373705728000
127.0.0.1:58058,17,355687428096000
127.0.0.1:60106,16,20922789888000
127.0.0.1:8395,15,1307674368000
127.0.0.1:3787,14,87178291200
127.0.0.1:13519,13,6227020800
127.0.0.1:9931,12,479001600
127.0.0.1:62158,11,39916800
127.0.0.1:14539,10,3628800
127.0.0.1:14027,9,362880
127.0.0.1:13515,8,40320
127.0.0.1:16587,7,5040
127.0.0.1:62670,6,720
127.0.0.1:23755,5,120
127.0.0.1:36555,4,24
127.0.0.1:23243,3,6
127.0.0.1:32459,2,2
127.0.0.1:22730,1,1
127.0.0.1:57034,20,2432902008176640000
127.0.0.1:57546,19,121645100408832000
127.0.0.1:58058,18,6402373705728000
127.0.0.1:60106,17,355687428096000
127.0.0.1:8395,16,20922789888000
127.0.0.1:3787,15,1307674368000
127.0.0.1:13519,14,87178291200
127.0.0.1:9931,13,6227020800
127.0.0.1:62158,12,479001600
127.0.0.1:14539,11,39916800
127.0.0.1:14027,10,3628800
127.0.0.1:13515,9,362880
127.0.0.1:16587,8,40320
127.0.0.1:62670,7,5040
127.0.0.1:23755,6,720
127.0.0.1:36555,5,120
127.0.0.1:23243,4,24
127.0.0.1:32459,3,6
127.0.0.1:22730,2,2
127.0.0.1:26827,1,1
127.0.0.1:57546,20,2432902008176640000
127.0.0.1:58058,19,121645100408832000
127.0.0.1:60106,18,6402373705728000
127.0.0.1:8395,17,355687428096000
127.0.0.1:3787,16,20922789888000
127.0.0.1:13519,15,1307674368000
127.0.0.1:9931,14,87178291200
127.0.0.1:62158,13,6227020800
127.0.0.1:14539,12,479001600
127.0.0.1:14027,11,39916800
127.0.0.1:13515,10,3628800
127.0.0.1:16587,9,362880
127.0.0.1:62670,8,40320
127.0.0.1:23755,7,5040
127.0.0.1:36555,6,720
127.0.0.1:23243,5,120
127.0.0.1:32459,4,24
127.0.0.1:22730,3,6
127.0.0.1:26827,2,2
127.0.0.1:40651,1,1
127.0.0.1:58058,20,2432902008176640000
127.0.0.1:60106,19,121645100408832000
127.0.0.1:8395,18,6402373705728000
127.0.0.1:3787,17,355687428096000
127.0.0.1:13519,16,20922789888000
127.0.0.1:9931,15,1307674368000
127.0.0.1:62158,14,87178291200
127.0.0.1:14539,13,6227020800
127.0.0.1:14027,12,479001600
127.0.0.1:13515,11,39916800
127.0.0.1:16587,10,3628800
127.0.0.1:62670,9,362880
127.0.0.1:23755,8,40320
127.0.0.1:36555,7,5040
127.0.0.1:23243,6,720
127.0.0.1:32459,5,120
127.0.0.1:22730,4,24
127.0.0.1:26827,3,6
127.0.0.1:40651,2,2
127.0.0.1:33483,1,1
127.0.0.1:60106,20,2432902008176640000
127.0.0.1:8395,19,121645100408832000
127.0.0.1:3787,18,6402373705728000
127.0.0.1:13519,17,355687428096000
127.0.0.1:9931,16,20922789888000
127.0.0.1:62158,15,1307674368000
127.0.0.1:14539,14,87178291200
127.0.0.1:14027,13,6227020800
127.0.0.1:13515,12,479001600
127.0.0.1:16587,11,39916800
127.0.0.1:62670,10,3628800
127.0.0.1:23755,9,362880
127.0.0.1:36555,8,40320
127.0.0.1:23243,7,5040
127.0.0.1:32459,6,720
127.0.0.1:22730,5,120
127.0.0.1:26827,4,24
127.0.0.1:40651,3,6
127.0.0.1:33483,2,2
127.0.0.1:32971,1,1
127.0.0.1:8395,20,2432902008176640000
127.0.0.1:3787,19,121645100408832000
127.0.0.1:13519,18,6402373705728000
127.0.0.1:9931,17,355687428096000
127.0.0.1:62158,16,20922789888000
127.0.0.1:14539,15,1307674368000
127.0.0.1:14027,14,87178291200
127.0.0.1:13515,13,6227020800
127.0.0.1:16587,12,479001600
127.0.0.1:62670,11,39916800
127.0.0.1:23755,10,3628800
127.0.0.1:36555,9,362880
127.0.0.1:23243,8,40320
127.0.0.1:32459,7,5040
127.0.0.1:22730,6,720
127.0.0.1:26827,5,120
127.0.0.1:40651,4,24
127.0.0.1:33483,3,6
127.0.0.1:32971,2,2
127.0.0.1:9348,1,1
127.0.0.1:3787,20,2432902008176640000
127.0.0.1:13519,19,121645100408832000
127.0.0.1:9931,18,6402373705728000
127.0.0.1:62158,17,355687428096000
127.0.0.1:14539,16,20922789888000
127.0.0.1:14027,15,1307674368000
127.0.0.1:13515,14,87178291200
127.0.0.1:16587,13,6227020800
127.0.0.1:62670,12,479001600
127.0.0.1:23755,11,39916800
127.0.0.1:36555,10,3628800
127.0.0.1:23243,9,362880
127.0.0.1:32459,8,40320
127.0.0.1:22730,7,5040
127.0.0.1:26827,6,720
127.0.0.1:40651,5,120
127.0.0.1:33483,4,24
127.0.0.1:32971,3,6
127.0.0.1:9348,2,2
127.0.0.1:46795,1,1
127.0.0.1:13519,20,2432902008176640000
127.0.0.1:9931,19,121645100408832000
127.0.0.1:62158,18,6402373705728000
127.0.0.1:14539,17,355687428096000
127.0.0.1:14027,16,20922789888000
127.0.0.1:13515,15,1307674368000
127.0.0.1:16587,14,87178291200
127.0.0.1:62670,13,6227020800
127.0.0.1:23755,12,479001600
127.0.0.1:36555,11,39916800
127.0.0.1:23243,10,3628800
127.0.0.1:32459,9,362880
127.0.0.1:22730,8,40320
127.0.0.1:26827,7,5040
127.0.0.1:40651,6,720
127.0.0.1:33483,5,120
127.0.0.1:32971,4,24
127.0.0.1:9348,3,6
127.0.0.1:46795,2,2
127.0.0.1:54475,1,1
127.0.0.1:9931,20,2432902008176640000
127.0.0.1:62158,19,121645100408832000
127.0.0.1:14539,18,6402373705728000
127.0.0.1:14027,17,355687428096000
127.0.0.1:13515,16,20922789888000
127.0.0.1:16587,15,1307674368000
127.0.0.1:62670,14,87178291200
127.0.0.1:23755,13,6227020800
127.0.0.1:36555,12,479001600
127.0.0.1:23243,11,39916800
127.0.0.1:32459,10,3628800
127.0.0.1:22730,9,362880
127.0.0.1:26827,8,40320
127.0.0.1:40651,7,5040
127.0.0.1:33483,6,720
127.0.0.1:32971,5,120
127.0.0.1:9348,4,24
127.0.0.1:46795,3,6
127.0.0.1:54475,2,2
127.0.0.1:53963,1,1
127.0.0.1:62158,20,2432902008176640000
127.0.0.1:14539,19,121645100408832000
127.0.0.1:14027,18,6402373705728000
127.0.0.1:13515,17,355687428096000
127.0.0.1:16587,16,20922789888000
127.0.0.1:62670,15,1307674368000
127.0.0.1:23755,14,87178291200
127.0.0.1:36555,13,6227020800
127.0.0.1:23243,12,479001600
127.0.0.1:32459,11,39916800
127.0.0.1:22730,10,3628800
127.0.0.1:26827,9,362880
127.0.0.1:40651,8,40320
127.0.0.1:33483,7,5040
127.0.0.1:32971,6,720
127.0.0.1:9348,5,120
127.0.0.1:46795,4,24
127.0.0.1:54475,3,6
127.0.0.1:53963,2,2
127.0.0.1:53451,1,1
127.0.0.1:14539,20,2432902008176640000
127.0.0.1:14027,19,121645100408832000
127.0.0.1:13515,18,6402373705728000
127.0.0.1:16587,17,355687428096000
127.0.0.1:62670,16,20922789888000
127.0.0.1:23755,15,1307674368000
127.0.0.1:36555,14,87178291200
127.0.0.1:23243,13,6227020800
127.0.0.1:32459,12,479001600
127.0.0.1:22730,11,39916800
127.0.0.1:26827,10,3628800
127.0.0.1:40651,9,362880
127.0.0.1:33483,8,40320
127.0.0.1:32971,7,5040
127.0.0.1:9348,6,720
127.0.0.1:46795,5,120
127.0.0.1:54475,4,24
127.0.0.1:53963,3,6
127.0.0.1:53451,2,2
127.0.0.1:55499,1,1
127.0.0.1:14027,20,2432902008176640000
127.0.0.1:13515,19,121645100408832000
127.0.0.1:16587,18,6402373705728000
127.0.0.1:62670,17,355687428096000
127.0.0.1:23755,16,20922789888000
127.0.0.1:36555,15,1307674368000
127.0.0.1:23243,14,87178291200
127.0.0.1:32459,13,6227020800
127.0.0.1:22730,12,479001600
127.0.0.1:26827,11,39916800
127.0.0.1:40651,10,3628800
127.0.0.1:33483,9,362880
127.0.0.1:32971,8,40320
127.0.0.1:9348,7,5040
127.0.0.1:46795,6,720
127.0.0.1:54475,5,120
127.0.0.1:53963,4,24
127.0.0.1:53451,3,6
127.0.0.1:55499,2,2
127.0.0.1:59083,1,1
127.0.0.1:13515,20,2432902008176640000
127.0.0.1:16587,19,121645100408832000
127.0.0.1:62670,18,6402373705728000
127.0.0.1:23755,17,355687428096000
127.0.0.1:36555,16,20922789888000
127.0.0.1:23243,15,1307674368000
127.0.0.1:32459,14,87178291200
127.0.0.1:22730,13,6227020800
127.0.0.1:26827,12,479001600
127.0.0.1:40651,11,39916800
127.0.0.1:33483,10,3628800
127.0.0.1:32971,9,362880
127.0.0.1:9348,8,40320
127.0.0.1:46795,7,5040
127.0.0.1:54475,6,720
127.0.0.1:53963,5,120
127.0.0.1:53451,4,24
127.0.0.1:55499,3,6
127.0.0.1:59083,2,2
127.0.0.1:61643,1,1
127.0.0.1:16587,20,2432902008176640000
127.0.0.1:62670,19,121645100408832000
127.0.0.1:23755,18,6402373705728000
127.0.0.1:36555,17,355687428096000
127.0.0.1:23243,16,20922789888000
127.0.0.1:32459,15,1307674368000
127.0.0.1:22730,14,87178291200
127.0.0.1:26827,13,6227020800
127.0.0.1:40651,12,479001600
127.0.0.1:33483,11,39916800
127.0.0.1:32971,10,3628800
127.0.0.1:9348,9,362880
127.0.0.1:46795,8,40320
127.0.0.1:54475,7,5040
127.0.0.1:53963,6,720
127.0.0.1:53451,5,120
127.0.0.1:55499,4,24
127.0.0.1:59083,3,6
127.0.0.1:61643,2,2
127.0.0.1:1743,1,1
127.0.0.1:62670,20,2432902008176640000
127.0.0.1:23755,19,121645100408832000
127.0.0.1:36555,18,6402373705728000
127.0.0.1:23243,17,355687428096000
127.0.0.1:32459,16,20922789888000
127.0.0.1:22730,15,1307674368000
127.0.0.1:26827,14,87178291200
127.0.0.1:40651,13,6227020800
127.0.0.1:33483,12,479001600
127.0.0.1:32971,11,39916800
127.0.0.1:9348,10,3628800
127.0.0.1:46795,9,362880
127.0.0.1:54475,8,40320
127.0.0.1:53963,7,5040
127.0.0.1:53451,6,720
127.0.0.1:55499,5,120
127.0.0.1:59083,4,24
127.0.0.1:61643,3,6
127.0.0.1:1743,2,2
127.0.0.1:62667,1,1
127.0.0.1:23755,20,2432902008176640000
127.0.0.1:36555,19,121645100408832000
127.0.0.1:23243,18,6402373705728000
127.0.0.1:32459,17,355687428096000
127.0.0.1:22730,16,20922789888000
127.0.0.1:26827,15,1307674368000
127.0.0.1:40651,14,87178291200
127.0.0.1:33483,13,6227020800
127.0.0.1:32971,12,479001600
127.0.0.1:9348,11,39916800
127.0.0.1:46795,10,3628800
127.0.0.1:54475,9,362880
127.0.0.1:53963,8,40320
127.0.0.1:53451,7,5040
127.0.0.1:55499,6,720
127.0.0.1:59083,5,120
127.0.0.1:61643,4,24
127.0.0.1:1743,3,6
127.0.0.1:62667,2,2
127.0.0.1:204,1,1
127.0.0.1:36555,20,2432902008176640000
127.0.0.1:23243,19,121645100408832000
127.0.0.1:32459,18,6402373705728000
127.0.0.1:22730,17,355687428096000
127.0.0.1:26827,16,20922789888000
127.0.0.1:40651,15,1307674368000
127.0.0.1:33483,14,87178291200
127.0.0.1:32971,13,6227020800
127.0.0.1:9348,12,479001600
127.0.0.1:46795,11,39916800
127.0.0.1:54475,10,3628800
127.0.0.1:53963,9,362880
127.0.0.1:53451,8,40320
127.0.0.1:55499,7,5040
127.0.0.1:59083,6,720
127.0.0.1:61643,5,120
127.0.0.1:1743,4,24
127.0.0.1:62667,3,6
127.0.0.1:204,2,2
127.0.0.1:56526,1,1
127.0.0.1:23243,20,2432902008176640000
127.0.0.1:32459,19,121645100408832000
127.0.0.1:22730,18,6402373705728000
127.0.0.1:26827,17,355687428096000
127.0.0.1:40651,16,20922789888000
127.0.0.1:33483,15,1307674368000
127.0.0.1:32971,14,87178291200
127.0.0.1:9348,13,6227020800
127.0.0.1:46795,12,479001600
127.0.0.1:54475,11,39916800
127.0.0.1:53963,10,3628800
127.0.0.1:53451,9,362880
127.0.0.1:55499,8,40320
127.0.0.1:59083,7,5040
127.0.0.1:61643,6,720
127.0.0.1:1743,5,120
127.0.0.1:62667,4,24
127.0.0.1:204,3,6
127.0.0.1:56526,2,2
127.0.0.1:5324,1,1
127.0.0.1:32459,20,2432902008176640000
127.0.0.1:22730,19,121645100408832000
127.0.0.1:26827,18,6402373705728000
127.0.0.1:40651,17,355687428096000
127.0.0.1:33483,16,20922789888000
127.0.0.1:32971,15,1307674368000
127.0.0.1:9348,14,87178291200
127.0.0.1:46795,13,6227020800
127.0.0.1:54475,12,479001600
127.0.0.1:53963,11,39916800
127.0.0.1:53451,10,3628800
127.0.0.1:55499,9,362880
127.0.0.1:59083,8,40320
127.0.0.1:61643,7,5040
127.0.0.1:1743,6,720
127.0.0.1:62667,5,120
127.0.0.1:204,4,24
127.0.0.1:56526,3,6
127.0.0.1:5324,2,2
127.0.0.1:5836,1,1
127.0.0.1:22730,20,2432902008176640000
127.0.0.1:26827,19,121645100408832000
127.0.0.1:40651,18,6402373705728000
127.0.0.1:33483,17,355687428096000
127.0.0.1:32971,16,20922789888000
127.0.0.1:9348,15,1307674368000
127.0.0.1:46795,14,87178291200
127.0.0.1:54475,13,6227020800
127.0.0.1:53963,12,479001600
127.0.0.1:53451,11,39916800
127.0.0.1:55499,10,3628800
127.0.0.1:59083,9,362880
127.0.0.1:61643,8,40320
127.0.0.1:1743,7,5040
127.0.0.1:62667,6,720
127.0.0.1:204,5,120
127.0.0.1:56526,4,24
127.0.0.1:5324,3,6
127.0.0.1:5836,2,2
127.0.0.1:9420,1,1
127.0.0.1:26827,20,2432902008176640000
127.0.0.1:40651,19,121645100408832000
127.0.0.1:33483,18,6402373705728000
127.0.0.1:32971,17,355687428096000
127.0.0.1:9348,16,20922789888000
127.0.0.1:46795,15,1307674368000
127.0.0.1:54475,14,87178291200
127.0.0.1:53963,13,6227020800
127.0.0.1:53451,12,479001600
127.0.0.1:55499,11,39916800
127.0.0.1:59083,10,3628800
127.0.0.1:61643,9,362880
127.0.0.1:1743,8,40320
127.0.0.1:62667,7,5040
127.0.0.1:204,6,720
127.0.0.1:56526,5,120
127.0.0.1:5324,4,24
127.0.0.1:5836,3,6
127.0.0.1:9420,2,2
127.0.0.1:18124,1,1
127.0.0.1:40651,20,2432902008176640000
127.0.0.1:33483,19,121645100408832000
127.0.0.1:32971,18,6402373705728000
127.0.0.1:9348,17,355687428096000
127.0.0.1:46795,16,20922789888000
127.0.0.1:54475,15,1307674368000
127.0.0.1:53963,14,87178291200
127.0.0.1:53451,13,6227020800
127.0.0.1:55499,12,479001600
127.0.0.1:59083,11,39916800
127.0.0.1:61643,10,3628800
127.0.0.1:1743,9,362880
127.0.0.1:62667,8,40320
127.0.0.1:204,7,5040
127.0.0.1:56526,6,720
127.0.0.1:5324,5,120
127.0.0.1:5836,4,24
127.0.0.1:9420,3,6
127.0.0.1:18124,2,2
127.0.0.1:17100,1,1
127.0.0.1:33483,20,2432902008176640000
127.0.0.1:32971,19,121645100408832000
127.0.0.1:9348,18,6402373705728000
127.0.0.1:46795,17,355687428096000
127.0.0.1:54475,16,20922789888000
127.0.0.1:53963,15,1307674368000
127.0.0.1:53451,14,87178291200
127.0.0.1:55499,13,6227020800
127.0.0.1:59083,12,479001600
127.0.0.1:61643,11,39916800
127.0.0.1:1743,10,3628800
127.0.0.1:62667,9,362880
127.0.0.1:204,8,40320
127.0.0.1:56526,7,5040
127.0.0.1:5324,6,720
127.0.0.1:5836,5,120
127.0.0.1:9420,4,24
127.0.0.1:18124,3,6
127.0.0.1:17100,2,2
127.0.0.1:20172,1,1
127.0.0.1:32971,20,2432902008176640000
127.0.0.1:9348,19,121645100408832000
127.0.0.1:46795,18,6402373705728000
127.0.0.1:54475,17,355687428096000
127.0.0.1:53963,16,20922789888000
127.0.0.1:53451,15,1307674368000
127.0.0.1:55499,14,87178291200
127.0.0.1:59083,13,6227020800
127.0.0.1:61643,12,479001600
127.0.0.1:1743,11,39916800
127.0.0.1:62667,10,3628800
127.0.0.1:204,9,362880
127.0.0.1:56526,8,40320
127.0.0.1:5324,7,5040
127.0.0.1:5836,6,720
127.0.0.1:9420,5,120
127.0.0.1:18124,4,24
127.0.0.1:17100,3,6
127.0.0.1:20172,2,2
127.0.0.1:10444,1,1
127.0.0.1:9348,20,2432902008176640000
127.0.0.1:46795,19,121645100408832000
127.0.0.1:54475,18,6402373705728000
127.0.0.1:53963,17,355687428096000
127.0.0.1:53451,16,20922789888000
127.0.0.1:55499,15,1307674368000
127.0.0.1:59083,14,87178291200
127.0.0.1:61643,13,6227020800
127.0.0.1:1743,12,479001600
127.0.0.1:62667,11,39916800
127.0.0.1:204,10,3628800
127.0.0.1:56526,9,362880
127.0.0.1:5324,8,40320
127.0.0.1:5836,7,5040
127.0.0.1:9420,6,720
127.0.0.1:18124,5,120
127.0.0.1:17100,4,24
127.0.0.1:20172,3,6
127.0.0.1:10444,2,2
127.0.0.1:20684,1,1
127.0.0.1:46795,20,2432902008176640000
127.0.0.1:54475,19,121645100408832000
127.0.0.1:53963,18,6402373705728000
127.0.0.1:53451,17,355687428096000
127.0.0.1:55499,16,20922789888000
127.0.0.1:59083,15,1307674368000
127.0.0.1:61643,14,87178291200
127.0.0.1:1743,13,6227020800
127.0.0.1:62667,12,479001600
127.0.0.1:204,11,39916800
127.0.0.1:56526,10,3628800
127.0.0.1:5324,9,362880
127.0.0.1:5836,8,40320
127.0.0.1:9420,7,5040
127.0.0.1:18124,6,720
127.0.0.1:17100,5,120
127.0.0.1:20172,4,24
127.0.0.1:10444,3,6
127.0.0.1:20684,2,2
127.0.0.1:21196,1,1
127.0.0.1:54475,20,2432902008176640000
127.0.0.1:53963,19,121645100408832000
127.0.0.1:53451,18,6402373705728000
127.0.0.1:55499,17,355687428096000
127.0.0.1:59083,16,20922789888000
127.0.0.1:61643,15,1307674368000
127.0.0.1:1743,14,87178291200
127.0.0.1:62667,13,6227020800
127.0.0.1:204,12,479001600
127.0.0.1:56526,11,39916800
127.0.0.1:5324,10,3628800
127.0.0.1:5836,9,362880
127.0.0.1:9420,8,40320
127.0.0.1:18124,7,5040
127.0.0.1:17100,6,720
127.0.0.1:20172,5,120
127.0.0.1:10444,4,24
127.0.0.1:20684,3,6
127.0.0.1:21196,2,2
127.0.0.1:17612,1,1
127.0.0.1:53963,20,2432902008176640000
127.0.0.1:53451,19,121645100408832000
127.0.0.1:55499,18,6402373705728000
127.0.0.1:59083,17,355687428096000
127.0.0.1:61643,16,20922789888000
127.0.0.1:1743,15,1307674368000
127.0.0.1:62667,14,87178291200
127.0.0.1:204,13,6227020800
127.0.0.1:56526,12,479001600
127.0.0.1:5324,11,39916800
127.0.0.1:5836,10,3628800
127.0.0.1:9420,9,362880
127.0.0.1:18124,8,40320
127.0.0.1:17100,7,5040
127.0.0.1:20172,6,720
127.0.0.1:10444,5,120
127.0.0.1:20684,4,24
127.0.0.1:21196,3,6
127.0.0.1:17612,2,2
127.0.0.1:18636,1,1
127.0.0.1:53451,20,2432902008176640000
127.0.0.1:55499,19,121645100408832000
127.0.0.1:59083,18,6402373705728000
127.0.0.1:61643,17,355687428096000
127.0.0.1:1743,16,20922789888000
127.0.0.1:62667,15,1307674368000
127.0.0.1:204,14,87178291200
127.0.0.1:56526,13,6227020800
127.0.0.1:5324,12,479001600
127.0.0.1:5836,11,39916800
127.0.0.1:9420,10,3628800
127.0.0.1:18124,9,362880
127.0.0.1:17100,8,40320
127.0.0.1:20172,7,5040
127.0.0.1:10444,6,720
127.0.0.1:20684,5,120
127.0.0.1:21196,4,24
127.0.0.1:17612,3,6
127.0.0.1:18636,2,2
127.0.0.1:19148,1,1
127.0.0.1:55499,20,2432902008176640000
127.0.0.1:59083,19,121645100408832000
127.0.0.1:61643,18,6402373705728000
127.0.0.1:1743,17,355687428096000
127.0.0.1:62667,16,20922789888000
127.0.0.1:204,15,1307674368000
127.0.0.1:56526,14,87178291200
127.0.0.1:5324,13,6227020800
127.0.0.1:5836,12,479001600
127.0.0.1:9420,11,39916800
127.0.0.1:18124,10,3628800
127.0.0.1:17100,9,362880
127.0.0.1:20172,8,40320
127.0.0.1:10444,7,5040
127.0.0.1:20684,6,720
127.0.0.1:21196,5,120
127.0.0.1:17612,4,24
127.0.0.1:18636,3,6
127.0.0.1:19148,2,2
127.0.0.1:19660,1,1
127.0.0.1:59083,20,2432902008176640000
127.0.0.1:61643,19,121645100408832000
127.0.0.1:1743,18,6402373705728000
127.0.0.1:62667,17,355687428096000
127.0.0.1:204,16,20922789888000
127.0.0.1:56526,15,1307674368000
127.0.0.1:5324,14,87178291200
127.0.0.1:5836,13,6227020800
127.0.0.1:9420,12,479001600
127.0.0.1:18124,11,39916800
127.0.0.1:17100,10,3628800
127.0.0.1:20172,9,362880
127.0.0.1:10444,8,40320
127.0.0.1:20684,7,5040
127.0.0.1:21196,6,720
127.0.0.1:17612,5,120
127.0.0.1:18636,4,24
127.0.0.1:19148,3,6
127.0.0.1:19660,2,2
127.0.0.1:27340,1,1
127.0.0.1:61643,20,2432902008176640000
127.0.0.1:1743,19,121645100408832000
127.0.0.1:62667,18,6402373705728000
127.0.0.1:204,17,355687428096000
127.0.0.1:56526,16,20922789888000
127.0.0.1:5324,15,1307674368000
127.0.0.1:5836,14,87178291200
127.0.0.1:9420,13,6227020800
127.0.0.1:18124,12,479001600
127.0.0.1:17100,11,39916800
