Client,i,Factorial
127.0.0.1:13543,17,355687428096000
127.0.0.1:15591,16,20922789888000
127.0.0.1:6375,20,2432902008176640000
127.0.0.1:10471,19,121645100408832000
127.0.0.1:13543,18,6402373705728000
127.0.0.1:15591,17,355687428096000
127.0.0.1:10471,20,2432902008176640000
127.0.0.1:13543,19,121645100408832000
127.0.0.1:15591,18,6402373705728000
127.0.0.1:13543,20,2432902008176640000
127.0.0.1:15591,19,121645100408832000
127.0.0.1:15591,20,2432902008176640000
