Client,i,Factorial
127.0.0.1:63189,16,20922789888000
127.0.0.1:36566,15,1307674368000
127.0.0.1:22742,14,87178291200
127.0.0.1:17110,13,6227020800
127.0.0.1:50389,12,479001600
127.0.0.1:18134,11,39916800
127.0.0.1:18646,10,3628800
127.0.0.1:17622,9,362880
127.0.0.1:29398,8,40320
127.0.0.1:50901,7,5040
127.0.0.1:23254,6,720
127.0.0.1:28886,5,120
127.0.0.1:40662,4,24
127.0.0.1:5846,3,6
127.0.0.1:28373,2,2
127.0.0.1:3286,17,355687428096000
127.0.0.1:9430,17,355687428096000
127.0.0.1:8918,18,6402373705728000
127.0.0.1:5334,17,355687428096000
127.0.0.1:27861,16,20922789888000
127.0.0.1:63189,17,355687428096000
127.0.0.1:36566,16,20922789888000
127.0.0.1:22742,15,1307674368000
127.0.0.1:17110,14,87178291200
127.0.0.1:50389,13,6227020800
127.0.0.1:18134,12,479001600
127.0.0.1:18646,11,39916800
127.0.0.1:17622,10,3628800
127.0.0.1:29398,9,362880
127.0.0.1:50901,8,40320
127.0.0.1:23254,7,5040
127.0.0.1:28886,6,720
127.0.0.1:40662,5,120
127.0.0.1:5846,4,24
127.0.0.1:28373,3,6
127.0.0.1:3286,18,6402373705728000
127.0.0.1:9430,18,6402373705728000
127.0.0.1:8918,19,121645100408832000
127.0.0.1:5334,18,6402373705728000
127.0.0.1:27861,17,355687428096000
127.0.0.1:63189,18,6402373705728000
127.0.0.1:36566,17,355687428096000
127.0.0.1:22742,16,20922789888000
127.0.0.1:17110,15,1307674368000
127.0.0.1:50389,14,87178291200
127.0.0.1:18134,13,6227020800
127.0.0.1:18646,12,479001600
127.0.0.1:17622,11,39916800
127.0.0.1:29398,10,3628800
127.0.0.1:50901,9,362880
127.0.0.1:23254,8,40320
127.0.0.1:28886,7,5040
127.0.0.1:40662,6,720
127.0.0.1:5846,5,120
127.0.0.1:28373,4,24
127.0.0.1:3286,19,121645100408832000
127.0.0.1:9430,19,121645100408832000
127.0.0.1:8918,20,2432902008176640000
127.0.0.1:5334,19,121645100408832000
127.0.0.1:27861,18,6402373705728000
127.0.0.1:63189,19,121645100408832000
127.0.0.1:36566,18,6402373705728000
127.0.0.1:22742,17,355687428096000
127.0.0.1:17110,16,20922789888000
127.0.0.1:50389,15,1307674368000
127.0.0.1:18134,14,87178291200
127.0.0.1:18646,13,6227020800
127.0.0.1:17622,12,479001600
127.0.0.1:29398,11,39916800
127.0.0.1:50901,10,3628800
127.0.0.1:23254,9,362880
127.0.0.1:28886,8,40320
127.0.0.1:40662,7,5040
127.0.0.1:5846,6,720
127.0.0.1:28373,5,120
127.0.0.1:3286,20,2432902008176640000
127.0.0.1:9430,20,2432902008176640000
127.0.0.1:5334,20,2432902008176640000
127.0.0.1:27861,19,121645100408832000
127.0.0.1:63189,20,2432902008176640000
127.0.0.1:36566,19,121645100408832000
127.0.0.1:22742,18,6402373705728000
127.0.0.1:17110,17,355687428096000
127.0.0.1:50389,16,20922789888000
127.0.0.1:18134,15,1307674368000
127.0.0.1:18646,14,87178291200
127.0.0.1:17622,13,6227020800
127.0.0.1:29398,12,479001600
127.0.0.1:50901,11,39916800
127.0.0.1:23254,10,3628800
127.0.0.1:28886,9,362880
127.0.0.1:40662,8,40320
127.0.0.1:5846,7,5040
127.0.0.1:28373,6,720
127.0.0.1:27861,20,2432902008176640000
127.0.0.1:36566,20,2432902008176640000
127.0.0.1:22742,19,121645100408832000
127.0.0.1:17110,18,6402373705728000
127.0.0.1:50389,17,355687428096000
127.0.0.1:18134,16,20922789888000
127.0.0.1:18646,15,1307674368000
127.0.0.1:17622,14,87178291200
127.0.0.1:29398,13,6227020800
127.0.0.1:50901,12,479001600
127.0.0.1:23254,11,39916800
127.0.0.1:28886,10,3628800
127.0.0.1:40662,9,362880
127.0.0.1:5846,8,40320
127.0.0.1:28373,7,5040
127.0.0.1:22742,20,2432902008176640000
127.0.0.1:17110,19,121645100408832000
127.0.0.1:50389,18,6402373705728000
127.0.0.1:18134,17,355687428096000
127.0.0.1:18646,16,20922789888000
127.0.0.1:17622,15,1307674368000
127.0.0.1:29398,14,87178291200
127.0.0.1:50901,13,6227020800
127.0.0.1:23254,12,479001600
127.0.0.1:28886,11,39916800
127.0.0.1:40662,10,3628800
127.0.0.1:5846,9,362880
127.0.0.1:28373,8,40320
127.0.0.1:17110,20,2432902008176640000
127.0.0.1:50389,19,121645100408832000
127.0.0.1:18134,18,6402373705728000
127.0.0.1:18646,17,355687428096000
127.0.0.1:17622,16,20922789888000
127.0.0.1:29398,15,1307674368000
127.0.0.1:50901,14,87178291200
127.0.0.1:23254,13,6227020800
127.0.0.1:28886,12,479001600
127.0.0.1:40662,11,39916800
127.0.0.1:5846,10,3628800
127.0.0.1:28373,9,362880
127.0.0.1:50389,20,2432902008176640000
127.0.0.1:18134,19,121645100408832000
127.0.0.1:18646,18,6402373705728000
127.0.0.1:17622,17,355687428096000
127.0.0.1:29398,16,20922789888000
127.0.0.1:50901,15,1307674368000
127.0.0.1:23254,14,87178291200
127.0.0.1:28886,13,6227020800
127.0.0.1:40662,12,479001600
127.0.0.1:5846,11,39916800
127.0.0.1:28373,10,3628800
127.0.0.1:18134,20,2432902008176640000
127.0.0.1:18646,19,121645100408832000
127.0.0.1:17622,18,6402373705728000
127.0.0.1:29398,17,355687428096000
127.0.0.1:50901,16,20922789888000
127.0.0.1:23254,15,1307674368000
127.0.0.1:28886,14,87178291200
127.0.0.1:40662,13,6227020800
127.0.0.1:5846,12,479001600
127.0.0.1:28373,11,39916800
127.0.0.1:18646,20,2432902008176640000
